trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
145,False,"{'a': 0.01, 'e': 0.16419920166565835}",30,0,-277.920255146602,"{0: 12, 1: 3, 2: 10, 3: 1, 4: 4}",0
146,False,"{'a': 0.01, 'e': 0.16256539231083117}",25,1,-228.36521311053818,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 4}",1
147,False,"{'a': 0.01, 'e': 0.1609478396307067}",20,0,-199.83201157688703,"{0: 10, 1: 4, 2: 1, 3: 1, 4: 4}",0
148,False,"{'a': 0.01, 'e': 0.1593463818686689}",30,0,-258.418611397502,"{0: 15, 1: 4, 2: 6, 3: 0, 4: 5}",0
149,False,"{'a': 0.01, 'e': 0.1577608588776071}",20,0,-209.9047106402112,"{0: 9, 1: 2, 2: 5, 3: 0, 4: 4}",0
150,False,"{'a': 0.01, 'e': 0.15619111210390085}",25,0,-170.99206743104605,"{0: 12, 1: 1, 2: 10, 3: 0, 4: 2}",0
151,False,"{'a': 0.01, 'e': 0.15463698457156472}",25,0,-205.98994049948314,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
152,False,"{'a': 0.01, 'e': 0.1530983208665503}",20,0,-271.19794283757903,"{0: 7, 1: 2, 2: 5, 3: 1, 4: 5}",0
153,False,"{'a': 0.01, 'e': 0.15157496712120494}",25,0,-116.13131461376894,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
154,False,"{'a': 0.01, 'e': 0.15006677099888455}",25,0,-184.79850203171844,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
155,False,"{'a': 0.01, 'e': 0.14857358167872012}",25,0,-140.927549833378,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
156,False,"{'a': 0.01, 'e': 0.1470952498405353}",30,0,-213.78676279397078,"{0: 12, 1: 3, 2: 13, 3: 0, 4: 2}",0
157,False,"{'a': 0.01, 'e': 0.1456316276499143}",25,0,-306.1185210032717,"{0: 10, 1: 1, 2: 7, 3: 2, 4: 5}",0
158,False,"{'a': 0.01, 'e': 0.1441825687434184}",25,0,-226.659147884373,"{0: 9, 1: 3, 2: 10, 3: 0, 4: 3}",0
159,False,"{'a': 0.01, 'e': 0.14274792821394938}",20,0,-147.6135522789081,"{0: 7, 1: 6, 2: 5, 3: 0, 4: 2}",0
160,False,"{'a': 0.01, 'e': 0.14132756259625875}",25,0,-203.70220208371194,"{0: 11, 1: 3, 2: 8, 3: 0, 4: 3}",0
161,False,"{'a': 0.01, 'e': 0.13992132985260114}",20,0,-66.70524071259464,"{0: 11, 1: 4, 2: 4, 3: 1, 4: 0}",0
162,False,"{'a': 0.01, 'e': 0.13852908935853026}",20,0,-148.69037177220122,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
163,False,"{'a': 0.01, 'e': 0.13715070188883652}",25,0,-157.20827683914803,"{0: 12, 1: 4, 2: 7, 3: 0, 4: 2}",0
164,False,"{'a': 0.01, 'e': 0.13578602960362432}",30,0,-310.90784265343206,"{0: 14, 1: 4, 2: 6, 3: 0, 4: 6}",0
165,False,"{'a': 0.01, 'e': 0.13443493603452786}",25,0,-182.70827904596877,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
166,False,"{'a': 0.01, 'e': 0.13309728607106433}",30,0,-272.8009560506275,"{0: 11, 1: 5, 2: 10, 3: 0, 4: 4}",0
167,False,"{'a': 0.01, 'e': 0.13177294594712274}",25,0,-99.82745677735899,"{0: 13, 1: 6, 2: 5, 3: 0, 4: 1}",0
168,False,"{'a': 0.01, 'e': 0.13046178322758697}",30,0,-216.77615365668998,"{0: 16, 1: 2, 2: 8, 3: 1, 4: 3}",0
169,False,"{'a': 0.01, 'e': 0.12916366679509247}",30,0,-249.77473051568776,"{0: 15, 1: 2, 2: 9, 3: 0, 4: 4}",0
170,False,"{'a': 0.01, 'e': 0.12787846683691426}",35,0,-326.5774717336991,"{0: 16, 1: 4, 2: 9, 3: 0, 4: 6}",0
171,False,"{'a': 0.01, 'e': 0.12660605483198548}",20,1,-207.1931924683478,"{0: 9, 1: 0, 2: 6, 3: 0, 4: 4}",1
172,False,"{'a': 0.01, 'e': 0.12534630353804524}",20,0,-177.3091087348252,"{0: 10, 1: 2, 2: 4, 3: 1, 4: 3}",0
173,False,"{'a': 0.01, 'e': 0.12409908697891446}",20,0,-73.76714091700129,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
174,False,"{'a': 0.01, 'e': 0.1228642804318978}",20,0,-222.00803998042747,"{0: 7, 1: 3, 2: 6, 3: 0, 4: 4}",0
175,False,"{'a': 0.01, 'e': 0.12164176041531159}",25,0,-173.8903332451881,"{0: 11, 1: 6, 2: 5, 3: 1, 4: 2}",0
176,False,"{'a': 0.01, 'e': 0.12043140467613536}",25,0,-126.07042111205159,"{0: 11, 1: 1, 2: 12, 3: 1, 4: 0}",0
177,False,"{'a': 0.01, 'e': 0.11923309217778659}",25,0,-230.1871257391952,"{0: 9, 1: 2, 2: 11, 3: 0, 4: 3}",0
178,False,"{'a': 0.01, 'e': 0.11804670308801683}",25,0,-242.35902980323496,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 5}",0
179,False,"{'a': 0.01, 'e': 0.11687211876692848}",20,0,-215.0480128797659,"{0: 11, 1: 1, 2: 2, 3: 2, 4: 4}",0
180,False,"{'a': 0.01, 'e': 0.11570922175511056}",30,0,-156.2711307333641,"{0: 14, 1: 3, 2: 12, 3: 0, 4: 1}",0
181,False,"{'a': 0.01, 'e': 0.11455789576189282}",20,0,-189.20491558181897,"{0: 5, 1: 3, 2: 10, 3: 0, 4: 2}",0
